epoch,round,train_accuracy,train_auc,train_f1,train_f1_macro,train_precision,train_sensitivity,train_specificity,train_loss,val_accuracy,val_auc,val_f1,val_f1_macro,val_precision,val_sensitivity,val_specificity,val_loss,duration_seconds
1,1.0,0.6554555296897888,0.7102323174476624,0.6266857981681824,0.6533969640731812,0.6662598848342896,0.591549277305603,0.716580331325531,0.6246381538399195,0.649789035320282,0.7696280479431152,0.6914498209953308,0.643285870552063,0.6078431606292725,0.8017241358757019,0.5041322112083435,0.6149261556565762,115.15565741504543
2,1.0,0.7070974707603455,0.7812182903289795,0.6857954263687134,0.7057449221611023,0.7210274934768677,0.6538461446762085,0.7580310702323914,0.5641368738675522,0.7721518874168396,0.8368837237358093,0.7272727489471436,0.7658102512359619,0.8780487775802612,0.6206896305084229,0.9173553586006165,0.4911431409418583,12.980141840875149
3,2.0,0.7304025292396545,0.7959354519844055,0.7091428637504578,0.7289544343948364,0.7503023147583008,0.6722643375396729,0.7860103845596313,0.5484433664103686,0.6729958057403564,0.8168103694915771,0.7207207083702087,0.6631593704223633,0.6191950440406799,0.8620689511299133,0.4917355477809906,0.568189475685358,53.01636039908044
4,2.0,0.7484109997749329,0.8166670799255371,0.731941282749176,0.7474576234817505,0.763839840888977,0.7026002407073975,0.7922279834747314,0.5270737636897523,0.7848101258277893,0.8604303598403931,0.7512195110321045,0.7808142304420471,0.8651685118675232,0.6637930870056152,0.9008264541625977,0.47869908809661865,12.746358493808657
5,3.0,0.7531779408454895,0.8287197351455688,0.7387892603874207,0.7524267435073853,0.765389084815979,0.7139761447906494,0.790673553943634,0.5122819219605398,0.7130801677703857,0.8409802913665771,0.7394636273384094,0.7101073861122131,0.665517270565033,0.8318965435028076,0.5991735458374023,0.5327822603285313,52.49106397293508
6,3.0,0.7714512944221497,0.8448184728622437,0.7575161457061768,0.7706939578056335,0.7869235277175903,0.730227530002594,0.8108808398246765,0.48917104985754367,0.8080168962478638,0.8650078773498535,0.7898383140563965,0.8065696358680725,0.8507462739944458,0.7370689511299133,0.8760330677032471,0.44913937523961067,12.6427620081231
7,4.0,0.788665235042572,0.8557342886924744,0.7762198448181152,0.7880095839500427,0.804651141166687,0.7497291564941406,0.8259067535400391,0.4773664181515322,0.7573839426040649,0.858684778213501,0.7749511003494263,0.7558965682983398,0.7096773982048035,0.8534482717514038,0.6652892827987671,0.5043727122247219,44.81440358492546
8,4.0,0.7905190587043762,0.8643337488174438,0.779235303401947,0.7899703979492188,0.8036845326423645,0.7562296986579895,0.8233160376548767,0.46543889076022776,0.75527423620224,0.8598425388336182,0.7651821970939636,0.7548377513885498,0.7213740348815918,0.8146551847457886,0.6983470916748047,0.5212520584464073,12.713876042049378
9,5.0,0.7905190587043762,0.8727715611457825,0.7769946455955505,0.7897457480430603,0.8101117014884949,0.7464788556098938,0.8326424956321716,0.44964625168654876,0.7911392450332642,0.8668246269226074,0.800000011920929,0.7907284498214722,0.7528517246246338,0.8534482717514038,0.7314049601554871,0.4837130568921566,48.47121134982444
10,5.0,0.8056144118309021,0.883744478225708,0.7956570386886597,0.8051517605781555,0.818442165851593,0.7741062045097351,0.8357512950897217,0.4360500185166375,0.7405063509941101,0.8618374466896057,0.7648183703422546,0.7377033233642578,0.6872852444648743,0.8620689511299133,0.6239669322967529,0.5160212479531765,12.272035135189071
