epoch,fit_seconds,train_accuracy,train_auc,train_f1,train_f1_macro,train_loss,train_precision,train_sensitivity,train_specificity,val_accuracy,val_auc,val_f1,val_f1_macro,val_loss,val_precision,val_sensitivity,val_specificity
1,107.09908451408693,0.7102781249171986,0.7948742758618393,0.5512338052212683,0.6549645196263927,0.5672162317137533,0.5320825840093406,0.7338935917257602,0.7375026398951674,0.7428229719257811,0.7204063212472286,0.44542929465976056,0.6274969233422758,0.6658231094479561,0.5713544198129166,0.4866665037054765,0.8971653942856492
2,57.10574868068771,0.7581799934246679,0.8442390760977289,0.6026249665439156,0.701525663421744,0.5172324836499085,0.5837021101773759,0.7793900754708719,0.7841822695399738,0.7834928195442309,0.7986362237108952,0.5152524629848425,0.6701417900443647,0.5692616691768312,0.5752501148356205,0.4953445387407068,0.8335650068435942
3,56.97663004621358,0.7786273026266228,0.8695613466412065,0.6209273925072034,0.7192446396029561,0.4850479635313635,0.5986789778743865,0.7816575457088023,0.8017943970911543,0.8074162645203075,0.8337284812801763,0.48863982270208844,0.6694629026942276,0.5395426679420414,0.6364270284700622,0.4159587634700622,0.9286777207440737
4,49.15261603123613,0.8037085958532157,0.8850500106883002,0.6502001191379249,0.7436867064933622,0.46693892758865496,0.6241002516256174,0.801424362003276,0.8244999524821872,0.8062201026809273,0.8228616330897409,0.5847958028672985,0.7104512126537031,0.5337285764479751,0.5879252067985432,0.6588505547868008,0.8141554425778001
5,53.438537884987696,0.8213415226645421,0.904756794821428,0.6731864511475286,0.7620917270073128,0.4328074519547757,0.6420093103338621,0.8212911004141663,0.8390828414739581,0.8122009646379206,0.825039437513032,0.5703827752308412,0.7099298194549871,0.5311425853894943,0.623911949935142,0.5870430351159219,0.875647891081121
6,40.22379166662289,0.8351488819348903,0.9160429505354066,0.6912816730222501,0.7767552798646016,0.41124348578567793,0.657914513314687,0.8309878788686302,0.8535679934925805,0.8361244228753176,0.8242855997462022,0.5697715846046306,0.7193655575576582,0.55515247037964,0.6568272217537798,0.5368142372897368,0.9179618225998856
7,44.01258849511224,0.852600768246477,0.9304784288865268,0.7123545057911902,0.794764442156859,0.3875184970968596,0.6754002972193126,0.845163372641935,0.8669091128477395,0.8444976080832869,0.8470763528461092,0.5320868889253105,0.7047531435078982,0.5607535772685086,0.6763163823545264,0.4443770072391729,0.9645126347906852
8,42.69285350826714,0.8666808486538765,0.9382501371867151,0.7306769559576743,0.8096696264453243,0.3662294317953997,0.6941249526667462,0.8554352073186234,0.8793706213797144,0.8349282474894273,0.8286596401171251,0.5454707581318167,0.7055091586979952,0.5588943182566519,0.6071537279626399,0.5029485023192812,0.905465879651348
9,46.597931886659126,0.8718154174940926,0.9421544357354701,0.7393353882266241,0.8162870230014991,0.35611489570676785,0.7035895989960127,0.8534817546226331,0.8890339445181469,0.8277512097187589,0.839119495957662,0.5698182503358599,0.7142818229335347,0.542825473472476,0.627219832078977,0.5516137641154978,0.8909600320044887
10,41.45986215025727,0.8850818257999463,0.9537134611915745,0.7579589789550963,0.8314556085514783,0.33257103176330605,0.7214187745067995,0.8762607234132967,0.8997932056171964,0.8373205897055174,0.8322051869054731,0.5979513814717389,0.7340969074000582,0.558675581027874,0.6777409412786721,0.5688909576697783,0.9263328657481089
