epoch,train_accuracy,train_auc,train_f1,train_f1_macro,train_precision,train_sensitivity,train_specificity,train_loss,val_accuracy,val_auc,val_f1,val_f1_macro,val_precision,val_sensitivity,val_specificity,val_loss,duration_seconds
0,0.5638020634651184,0.5825576782226562,0.44628098607063293,0.543226420879364,0.3868194818496704,0.52734375,0.58203125,0.915011947353681,0.6700000166893005,0.7182270288467407,0.0,0.401197612285614,0.0,0.0,1.0,0.9112927317619324,4.1
1,0.5807291865348816,0.6374828815460205,0.48562300205230713,0.5658884048461914,0.41304346919059753,0.5891472697257996,0.5764706134796143,0.8806297133366267,0.6700000166893005,0.7431026697158813,0.0,0.401197612285614,0.0,0.0,1.0,0.9088777303695679,1.32
2,0.6744791865348816,0.7186737060546875,0.5847176313400269,0.658525824546814,0.5086705088615417,0.6875,0.66796875,0.8322373926639557,0.6700000166893005,0.67254638671875,0.0,0.401197612285614,0.0,0.0,1.0,1.0561221539974213,1.2
3,0.6432291865348816,0.7048873901367188,0.5308219194412231,0.6215033531188965,0.47256097197532654,0.60546875,0.662109375,0.8304725140333176,0.7099999785423279,0.676616907119751,0.6133333444595337,0.690666675567627,0.5476190447807312,0.6969696879386902,0.7164179086685181,0.8456277549266815,2.27
4,0.6666666865348816,0.7176010608673096,0.5631399154663086,0.6468331217765808,0.5076923370361328,0.6321839094161987,0.6844181418418884,0.8236643423636755,0.6299999952316284,0.6223428249359131,0.27450981736183167,0.5130938291549683,0.3888888955116272,0.21212121844291687,0.8358209133148193,0.9093147218227386,1.03
5,0.6888020634651184,0.7359801530838013,0.6062602996826172,0.6744972467422485,0.5287356376647949,0.7104247212409973,0.6777995824813843,0.8046806305646896,0.6499999761581421,0.5753053426742554,0.0,0.39393940567970276,0.0,0.0,0.9701492786407471,1.3128668665885925,1.01
6,0.6901041865348816,0.752914547920227,0.5924657583236694,0.6712328791618347,0.5226585865020752,0.6837944388389587,0.693203866481781,0.7814460794130961,0.699999988079071,0.641791045665741,0.53125,0.6553308963775635,0.5483871102333069,0.5151515007019043,0.7910447716712952,0.8839509189128876,1.02
7,0.66796875,0.7372108697891235,0.5565217137336731,0.6455865502357483,0.495356023311615,0.6349206566810608,0.684108555316925,0.7942009220520655,0.6700000166893005,0.6693803668022156,0.23255814611911774,0.5111835598945618,0.5,0.1515151560306549,0.9253731369972229,0.9960328936576843,1.02
8,0.7005208134651184,0.7594563961029053,0.6048110127449036,0.6818604469299316,0.5465838313102722,0.6769230961799622,0.712598443031311,0.7819834152857462,0.6600000262260437,0.6449570655822754,0.10526315867900848,0.4476933181285858,0.4000000059604645,0.06060606241226196,0.9552238583564758,1.0665825009346008,1.03
9,0.6796875,0.7432631850242615,0.5830508470535278,0.6615042686462402,0.5088757276535034,0.682539701461792,0.6782945990562439,0.7907107720772425,0.6499999761581421,0.6540027260780334,0.2222222238779068,0.49820786714553833,0.4166666567325592,0.1515151560306549,0.89552241563797,0.9704225659370422,1.03
10,0.6979166865348816,0.7724533081054688,0.5972222089767456,0.6777777671813965,0.5375000238418579,0.671875,0.7109375,0.7663446118434271,0.6899999976158142,0.679330587387085,0.5753424763679504,0.6656240224838257,0.5249999761581421,0.6363636255264282,0.7164179086685181,0.8424380123615265,1.02
11,0.7330729365348816,0.7875213623046875,0.6447140574455261,0.7154748439788818,0.5794392228126526,0.7265625,0.736328125,0.7479363332192103,0.7400000095367432,0.710085928440094,0.6060606241226196,0.7060153484344482,0.6060606241226196,0.6060606241226196,0.8059701323509216,0.8137348890304565,2.26
12,0.7044270634651184,0.7682528495788574,0.6024518609046936,0.6836093664169312,0.5443037748336792,0.6745098233222961,0.719298243522644,0.7681901852289835,0.7099999785423279,0.699683427810669,0.5245901346206665,0.6579785346984863,0.5714285969734192,0.4848484992980957,0.8208954930305481,0.8382710814476013,1.03
13,0.7265625,0.8055727481842041,0.632867157459259,0.707512378692627,0.5709779262542725,0.7098039388656616,0.7348927855491638,0.7272889365752538,0.6800000071525574,0.6838535070419312,0.5,0.6323529481887817,0.5161290168762207,0.4848484992980957,0.7761194109916687,0.8472860157489777,1.03
14,0.7109375,0.7750784158706665,0.6118881106376648,0.690798819065094,0.546875,0.6944444179534912,0.7189922332763672,0.7525170793135961,0.6899999976158142,0.7055631279945374,0.36734694242477417,0.5810244679450989,0.5625,0.27272728085517883,0.89552241563797,0.8708036541938782,1.02
15,0.7252604365348816,0.793548583984375,0.6355785727500916,0.707548975944519,0.5696594715118408,0.71875,0.728515625,0.7367277344067892,0.6399999856948853,0.6151063442230225,0.5135135054588318,0.6138995885848999,0.46341463923454285,0.5757575631141663,0.6716417670249939,0.9124130308628082,1.02
16,0.7265625,0.7994347810745239,0.6416382193565369,0.7102928161621094,0.5662650465965271,0.7401574850082397,0.7198443412780762,0.7318006654580435,0.4699999988079071,0.7082767486572266,0.4952380955219269,0.46867167949676514,0.3611111044883728,0.7878788113594055,0.31343284249305725,0.9014057219028473,1.03
17,0.7408854365348816,0.809902012348175,0.6502636075019836,0.7222362756729126,0.5929487347602844,0.7198443412780762,0.7514677047729492,0.7158651600281397,0.7200000286102295,0.6883763074874878,0.6111111044883728,0.6961805820465088,0.5641025900840759,0.6666666865348816,0.746268630027771,0.8252581059932709,1.01
18,0.7369791865348816,0.7959872484207153,0.6493055820465088,0.7194444537162781,0.5880503058433533,0.7248061895370483,0.7431372404098511,0.7420855313539505,0.6499999761581421,0.6938036680221558,0.2222222238779068,0.49820786714553833,0.4166666567325592,0.1515151560306549,0.89552241563797,0.9277294278144836,1.04
19,0.73046875,0.8036123514175415,0.6449399590492249,0.7138655781745911,0.5766870975494385,0.731517493724823,0.7299413084983826,0.7292630473772684,0.6399999856948853,0.671189546585083,0.5263158082962036,0.6179965734481812,0.4651162922382355,0.6060606241226196,0.6567164063453674,0.8554644584655762,1.03
20,0.7330729365348816,0.8162855505943298,0.653130292892456,0.7180995345115662,0.5830815434455872,0.7423076629638672,0.7283464670181274,0.7126481135686239,0.5799999833106995,0.7014925479888916,0.54347825050354,0.5772947072982788,0.4237288236618042,0.7575757503509521,0.49253731966018677,0.8458340466022491,1.03
21,0.7278645634651184,0.8251482248306274,0.6439523100852966,0.7118602395057678,0.5744680762290955,0.7325581312179565,0.7254902124404907,0.6979178041219711,0.7200000286102295,0.7200362086296082,0.48148149251937866,0.6448503732681274,0.6190476417541504,0.39393940567970276,0.8805969953536987,0.8281364440917969,1.01
22,0.7369791865348816,0.8294181823730469,0.6517241597175598,0.7202135324478149,0.5851393342018127,0.7354085445404053,0.7377690672874451,0.6920517484347025,0.699999988079071,0.6829489469528198,0.21052631735801697,0.5126705765724182,0.800000011920929,0.12121212482452393,0.9850746393203735,1.1363369822502136,1.02
23,0.73046875,0.8234634399414062,0.6437177062034607,0.7134819030761719,0.5753846168518066,0.73046875,0.73046875,0.695669079820315,0.7099999785423279,0.6824966669082642,0.5245901346206665,0.6579785346984863,0.5714285969734192,0.4848484992980957,0.8208954930305481,0.8454167246818542,1.04
24,0.7669270634651184,0.8365559577941895,0.692967414855957,0.7525697946548462,0.6234567761421204,0.7799227833747864,0.7603143453598022,0.6855346709489822,0.6200000047683716,0.6675713062286377,0.5476190447807312,0.610016405582428,0.45098039507865906,0.6969696879386902,0.5820895433425903,0.8496134281158447,1.04
25,0.7565104365348816,0.8418350219726562,0.680341899394989,0.7418533563613892,0.6048632264137268,0.77734375,0.74609375,0.6729929000139236,0.6499999761581421,0.6693803668022156,0.49275362491607666,0.6127890348434448,0.4722222089767456,0.5151515007019043,0.7164179086685181,0.8845528364181519,1.7
26,0.7734375,0.847747802734375,0.6925795078277588,0.7565990686416626,0.6322580575942993,0.765625,0.77734375,0.6688308964172999,0.7300000190734863,0.7168701887130737,0.47058823704719543,0.6446900963783264,0.6666666865348816,0.3636363744735718,0.9104477763175964,0.8672166764736176,1.08
27,0.76953125,0.8480054140090942,0.6867256760597229,0.7522196769714355,0.6298701167106628,0.7548637986183167,0.7769080400466919,0.6632269869248072,0.6800000071525574,0.6295793652534485,0.2380952388048172,0.5177817940711975,0.5555555820465088,0.1515151560306549,0.9402984976768494,1.0761516392230988,1.08
28,0.75,0.8277643322944641,0.6571428775787354,0.7302107810974121,0.6112957000732422,0.7104247212409973,0.7701375484466553,0.6870836466550827,0.6899999976158142,0.6811397671699524,0.24390244483947754,0.5244669318199158,0.625,0.1515151560306549,0.9552238583564758,1.063196986913681,1.06
29,0.76953125,0.8326113224029541,0.6932408809661865,0.7543368339538574,0.6269592642784119,0.7751938104629517,0.7666666507720947,0.6818502048651377,0.6600000262260437,0.6892808675765991,0.574999988079071,0.6458333134651184,0.4893617033958435,0.6969696879386902,0.641791045665741,0.842363029718399,1.11
30,0.7903645634651184,0.8725091218948364,0.7200000286102295,0.7762330770492554,0.650943398475647,0.8054474592208862,0.7827788591384888,0.6281099766492844,0.699999988079071,0.6938037276268005,0.4000000059604645,0.6000000238418579,0.5882353186607361,0.3030303120613098,0.89552241563797,0.8955679535865784,1.09
31,0.7721354365348816,0.846564769744873,0.7008547186851501,0.7584189176559448,0.6269113421440125,0.7945736646652222,0.7607843279838562,0.6661482801040014,0.6899999976158142,0.6951605677604675,0.5753424763679504,0.6656240224838257,0.5249999761581421,0.6363636255264282,0.7164179086685181,0.8435245752334595,1.19
32,0.76171875,0.8340225219726562,0.6714541912078857,0.7422643899917603,0.6212624311447144,0.73046875,0.77734375,0.67783522605896,0.46000000834465027,0.6824966669082642,0.5178571343421936,0.4521103799343109,0.3670886158943176,0.8787878751754761,0.2537313401699066,0.9905811250209808,1.13
