epoch,fit_seconds,train_accuracy,train_auc,train_f1,train_f1_macro,train_loss,train_precision,train_sensitivity,train_specificity,val_accuracy,val_auc,val_f1,val_f1_macro,val_loss,val_precision,val_sensitivity,val_specificity
1,49.74787696297914,0.7102781249171986,0.7948742758618393,0.5512338052212683,0.6549645196263927,0.5672162317137533,0.5320825840093406,0.7338935917257602,0.7375026398951674,0.5334928245350504,0.4961532047775944,0.2936630967879695,0.4649834330572466,0.7098985214196324,0.34693026855481013,0.35667968858657273,0.6503419418369184
2,45.27514379340721,0.7211831485540716,0.8003533819664939,0.5564649387950609,0.6631643085032277,0.5695141147154446,0.5388006173211619,0.7288201959607412,0.7515449483897478,0.5598086088753202,0.5067176469490289,0.26536706979408786,0.4690372023428456,0.7088462938175818,0.3527298767083997,0.30398680191291005,0.7204885639642414
3,44.07733614539581,0.7148315773662858,0.7998245306734094,0.5504489120220498,0.6577071369971994,0.5712958257743839,0.5376587211862351,0.7220679871182877,0.7502855910673758,0.6052631698727038,0.5152086534283378,0.21523465791886504,0.4690378935713517,0.707463401089017,0.3776208205620923,0.1964777967932692,0.8264435261630556
4,36.37621691709871,0.7218096483559681,0.7994106393617376,0.5582914891458848,0.6632206329357998,0.5704766702769323,0.5353407402425276,0.7299428921985297,0.7466749543283068,0.6363636424952146,0.5256003740301542,0.13525600991608425,0.44397570057348773,0.7057828099141565,0.3680327231305068,0.08424533614844226,0.9049679243393491
5,40.10889191895056,0.7280116241261656,0.8117772144206977,0.5697172743915672,0.6721473253214668,0.5544831582479604,0.5482258631039052,0.7514565595442558,0.7538358531886715,0.6602870943158438,0.533442635285227,0.07746572393264496,0.42609682786122466,0.7040574898203594,0.43004991249604657,0.04286333841035526,0.9657207684653798
6,44.07529212906307,0.7296754862929441,0.8067825108592326,0.5602707475437215,0.6692785218887431,0.5620771627088588,0.5491460584089541,0.712231861528223,0.7668528171551315,0.6662679477171465,0.5413996110977739,0.03280082270146557,0.40707584930378854,0.7023951594838115,0.39688994539411443,0.01710732519608793,0.9899562160934557
7,44.607752574611986,0.7322002210604199,0.812911806569752,0.5698282729380314,0.6743391676832579,0.5545271322477384,0.5525533169878778,0.7366151154407621,0.764205113421886,0.6662679591247339,0.5495456690993605,0.009692062802042403,0.3964927458877198,0.7009151079758787,0.5669856459330144,0.004887807274317485,1.0
8,37.2323240067889,0.7357392360416779,0.8163436643545854,0.5697456652874032,0.6759388472450993,0.5492375359731397,0.5557625500842417,0.7246638469084183,0.7688902013038449,0.6650717858777663,0.559563731034977,0.004866829569758981,0.3938113509467914,0.6999459230300913,0.5669856459330144,0.0024439036371587423,1.0
9,40.2638066697562,0.737077707723241,0.814479847716313,0.5734222974310463,0.6773576189724335,0.5529523268687501,0.5535998266777201,0.7379299265533136,0.7619450769490914,0.6650717858777663,0.5716932790986659,0.004866829569758981,0.3938113509467914,0.6997676102631685,0.5669856459330144,0.0024439036371587423,1.0
10,40.7867835959158,0.749409764375202,0.8337106479731408,0.585384680071865,0.6902488605887828,0.5327056391398922,0.5779960074894361,0.7480948582401056,0.7886967277655518,0.6650717858777663,0.5838009798498245,0.004866829569758981,0.3938113509467914,0.7005175830324015,0.5669856459330144,0.0024439036371587423,1.0
