epoch,round,train_accuracy,train_auc,train_f1,train_f1_macro,train_precision,train_sensitivity,train_specificity,train_loss,train_prox_loss,val_accuracy,val_auc,val_f1,val_f1_macro,val_precision,val_sensitivity,val_specificity,val_loss,duration_seconds
1,1.0,0.6424788236618042,0.6881188154220581,0.6105020046234131,0.6400527954101562,0.6530864238739014,0.5731310844421387,0.7088083028793335,0.6369555148027711,0.35611360381215307,0.5611814260482788,0.756020188331604,0.6578947305679321,0.5230650305747986,0.5319148898124695,0.8620689511299133,0.27272728085517883,0.6241823732852936,38.681009960127994
2,1.0,0.6814088821411133,0.7303305268287659,0.6460723876953125,0.6782011389732361,0.7070186734199524,0.5947995781898499,0.7642487287521362,0.6053707276360464,0.39003016888085057,0.6983122229576111,0.758870005607605,0.575667679309845,0.6708126068115234,0.9238095283508301,0.4181034564971924,0.9669421315193176,0.5777086466550827,12.668619534932077
3,2.0,0.6843220591545105,0.743363618850708,0.6407474279403687,0.6796084642410278,0.72214674949646,0.575839638710022,0.7880828976631165,0.5922571607565476,0.2924444813091876,0.6898733973503113,0.7854802012443542,0.7134503126144409,0.6877596378326416,0.6512455344200134,0.7887930870056152,0.5950413346290588,0.5789728723466396,36.619865126907825
4,2.0,0.6962394118309021,0.7647002935409546,0.6562780737876892,0.6920773386955261,0.7344064116477966,0.5931744575500488,0.794818639755249,0.5729273032333891,0.36773135096339854,0.7489451766014099,0.7970219254493713,0.7173396944999695,0.7457666397094727,0.7989417910575867,0.6508620977401733,0.8429751992225647,0.5492013059556484,12.339880438055843
5,3.0,0.7070974707603455,0.7703877091407776,0.672004759311676,0.7037057280540466,0.7424639463424683,0.613759458065033,0.7963730692863464,0.5739247697894856,0.2798816095721924,0.7658227682113647,0.8100598454475403,0.7424594163894653,0.7638795971870422,0.80402010679245,0.6896551847457886,0.8388429880142212,0.5193657949566841,40.2036374991294
6,3.0,0.7166313529014587,0.7840051651000977,0.6858484745025635,0.7138842344284058,0.7487179636955261,0.6327193975448608,0.7968912124633789,0.561737083782584,0.31245668459746795,0.7637130618095398,0.8109503984451294,0.7431192398071289,0.7621846199035645,0.7941176295280457,0.6982758641242981,0.8264462947845459,0.5431073643267155,12.340385534102097
7,4.0,0.7327859997749329,0.7991793155670166,0.7036710977554321,0.7301813364028931,0.7684413194656372,0.6489707231521606,0.8129533529281616,0.5467122530533095,0.28145939566321293,0.7383966445922852,0.8238814473152161,0.7448559403419495,0.7382287979125977,0.712598443031311,0.7801724076271057,0.6983470916748047,0.5252128839492798,32.948431513039395
8,4.0,0.7325211763381958,0.7981101870536804,0.7087658643722534,0.7307296395301819,0.7577065229415894,0.665763795375824,0.7963730692863464,0.5454018100843592,0.34195025239960625,0.7679324746131897,0.828245222568512,0.7533632516860962,0.7671198844909668,0.7850467562675476,0.7241379022598267,0.8099173307418823,0.4927828423678875,12.331342498073354
9,5.0,0.742584764957428,0.8081376552581787,0.7152900099754333,0.740196943283081,0.7786989808082581,0.6614301204681396,0.8202072381973267,0.5305197052026199,0.27864465988793613,0.8016877770423889,0.8520946502685547,0.7684729099273682,0.7975205779075623,0.8965517282485962,0.6724137663841248,0.9256198406219482,0.473416768014431,34.91391438804567
10,5.0,0.7515890002250671,0.8238534331321716,0.7338252067565918,0.75047767162323,0.7705602049827576,0.7004333734512329,0.8005181550979614,0.5188404786384712,0.3279749064122216,0.74472576379776,0.8347107768058777,0.7484407424926758,0.744670033454895,0.7228915691375732,0.7758620977401733,0.7148760557174683,0.5050710141658783,12.362983961822465
11,6.0,0.7531779408454895,0.8220083713531494,0.730791449546814,0.7514593005180359,0.7827970385551453,0.6852654218673706,0.8181347250938416,0.5208396638854075,0.2475338140029018,0.7953586578369141,0.8603590726852417,0.7717646956443787,0.7931481599807739,0.8497409224510193,0.7068965435028076,0.8801652789115906,0.45137565210461617,32.10249177599326
12,6.0,0.7579449415206909,0.8324863910675049,0.7365994453430176,0.7563447952270508,0.7869458198547363,0.692307710647583,0.8207253813743591,0.505465473664009,0.3387177131943784,0.746835470199585,0.8461990356445312,0.7580645084381104,0.7462888956069946,0.7121211886405945,0.8103448152542114,0.6859503984451294,0.5094483308494091,12.37674654298462
13,7.0,0.7552965879440308,0.8356555700302124,0.7392776608467102,0.7543693780899048,0.7714958786964417,0.7096424698829651,0.798963725566864,0.5025955287076659,0.27147250799304345,0.7784810066223145,0.8321637511253357,0.7597253918647766,0.777122974395752,0.8097561001777649,0.7155172228813171,0.8388429880142212,0.4940530098974705,43.275259321089834
14,7.0,0.7666842937469482,0.8404843807220459,0.7487881183624268,0.7654942274093628,0.7904876470565796,0.7112675905227661,0.8196890950202942,0.4965549565977969,0.3275584836127394,0.6919831037521362,0.8436342477798462,0.5493826866149902,0.6577041745185852,0.967391312122345,0.3836206793785095,0.9876033067703247,0.5590032823383808,12.386870840098709
15,8.0,0.7666842937469482,0.8465967178344727,0.7474921345710754,0.7653286457061768,0.793670117855072,0.706392228603363,0.8243523240089417,0.48554402690822795,0.27240597393553134,0.8143460154533386,0.882178008556366,0.7943925261497498,0.8125808835029602,0.8673469424247742,0.732758641242981,0.8925619721412659,0.45100004225969315,37.3498791269958
