epoch,train_loss,val_accuracy,val_auc,val_f1,val_precision,val_sensitivity,val_specificity,val_loss,duration_seconds
0,0.6270689434156969,0.7057416439056396,0.7919720411300659,0.6215384602546692,0.5474254488945007,0.7188612222671509,0.6990991234779358,0.5479136581222216,33.39
1,0.5732396727857682,0.7081339955329895,0.7960501313209534,0.6325300931930542,0.5483028888702393,0.7473309636116028,0.6882882714271545,0.5495339242948426,31.99
2,0.5544177230734092,0.7284688949584961,0.8175499439239502,0.6637036800384521,0.5685279369354248,0.7971529960632324,0.6936936974525452,0.5169307895832591,32.47
3,0.5322665027700938,0.6650717854499817,0.8017954230308533,0.6226415038108826,0.5010846257209778,0.8220640420913696,0.5855855941772461,0.5386511686223524,30.45
4,0.5162257076455996,0.7356459498405457,0.7972491979598999,0.611599326133728,0.6041666865348816,0.6192170977592468,0.7945945858955383,0.558233653091722,30.5
5,0.5088219688488886,0.7571770548820496,0.8136321306228638,0.6177024245262146,0.656000018119812,0.5836299061775208,0.8450450301170349,0.5428766570295449,30.18
6,0.4963907030625985,0.7081339955329895,0.8201276063919067,0.6514285802841187,0.5441527366638184,0.8113878965377808,0.6558558344841003,0.5236126860534703,30.44
7,0.48658821115700096,0.6961722373962402,0.8213843703269958,0.6340057849884033,0.5326876640319824,0.7829181551933289,0.6522522568702698,0.5085863177147176,30.79
8,0.47221455407830387,0.7535884976387024,0.82149338722229,0.6423611044883728,0.6271186470985413,0.6583629846572876,0.8018018007278442,0.5263706956196714,30.29
9,0.4655135514644476,0.7284688949584961,0.8246737718582153,0.6555386781692505,0.5714285969734192,0.7686832547187805,0.708108127117157,0.5232447652077233,30.25
10,0.45184449564952117,0.7368420958518982,0.8277580142021179,0.6615384817123413,0.5826558470726013,0.7651245594024658,0.722522497177124,0.515689413373669,31.1
11,0.4405674630632767,0.7141148447990417,0.8299829959869385,0.651094913482666,0.551980197429657,0.7935943007469177,0.6738739013671875,0.520253323432472,30.73
12,0.42886243029855764,0.7404305934906006,0.8270013332366943,0.6528000235557556,0.5930232405662537,0.725978672504425,0.7477477192878723,0.5266317639637876,30.67
