epoch,fit_seconds,train_accuracy,train_auc,train_f1,train_f1_macro,train_loss,train_precision,train_prox_loss,train_sensitivity,train_specificity,val_accuracy,val_auc,val_f1,val_f1_macro,val_loss,val_precision,val_sensitivity,val_specificity
1,45.43297766655893,0.6828041371422146,0.7591589784143282,0.5157962884346846,0.6269800306134916,0.602816163974146,0.5121126428141514,0.4537458602286723,0.6762664020463562,0.7250916225909114,0.7045454706586719,0.6940341875598761,0.1918093110278748,0.4953478494186721,0.6802580326652983,0.5814354161611585,0.11604433339178277,0.9790053343373623
2,37.09508480174011,0.72733960293201,0.8037006485821371,0.5559533184533568,0.6677383763949887,0.5577330103954239,0.5640123110806776,0.42595417744790043,0.7062562876172267,0.7828910203552589,0.6495215383728156,0.7779617355200663,0.5198804957159399,0.5884409643816606,0.6328806543820783,0.445264103666447,0.8016864424259469,0.5498108453157415
3,38.382954315722586,0.7488449856073777,0.8261436777232094,0.5830478017395573,0.6891432545600026,0.5396439390183567,0.5790892888216257,0.39840706657043656,0.7354728964704246,0.7943174272994554,0.794258362796318,0.8340797866360422,0.5698130383160696,0.7009721107460095,0.5320610453566296,0.6166043007060101,0.6465624114899544,0.8564595608619981
4,44.84864276942,0.7601567649927083,0.8361380506251602,0.5981253824961666,0.7014301135486042,0.524887098299461,0.5938601173162281,0.3859013330615967,0.7526496884758872,0.804359952766594,0.7978468842483594,0.8300273474038503,0.587613322589386,0.7124193081159911,0.5266691773203,0.6349487940660504,0.6892951320518147,0.8686171667427538
5,45.10083942160393,0.7685168794366198,0.8560041607882626,0.6063839618081436,0.7080771374194952,0.5007365912006176,0.5932932010459643,0.37102299430775915,0.7547477344543818,0.8036535764952111,0.7954545445989764,0.82953622894424,0.5529614715128424,0.694255770250941,0.5299241509841105,0.6079084794415811,0.5640031562039727,0.8657166880854009
6,44.606801478223026,0.7877752256346972,0.8641468536869873,0.6246115002580677,0.7254490005507174,0.4880083859458247,0.6159736223171505,0.3713719785878375,0.7549612467086327,0.8290246134128837,0.8026315729583849,0.8262793031035428,0.5124561151748068,0.6802750817326267,0.5441260179192826,0.6450979641714449,0.4636075621622316,0.9177248884331096
7,45.34844748992052,0.7963155817635287,0.8771588052164363,0.6390625012008491,0.7353117055504098,0.4757964990410986,0.6236060006277901,0.38369968529390996,0.7719539177773364,0.8306455188847575,0.7870813278775466,0.8537191610302081,0.39467521304148806,0.6195456806980252,0.5914170426098211,0.6590827783329065,0.2817366960944171,0.9892840837462668
8,43.20860686392698,0.8042051613089599,0.8781087347421488,0.646624300106768,0.7431185341295926,0.4697776403853854,0.6393248772731948,0.35973613379729874,0.7721580099155299,0.8464580137607058,0.8277512004500941,0.8571559408920233,0.5884367251082471,0.7240934259298315,0.502567977586574,0.6352626022183153,0.6004434061107453,0.8854816314991582
9,44.501548084604664,0.8089185687059264,0.8860673129227973,0.6589935970099107,0.7499296962098013,0.4586366633620332,0.6386253737810044,0.37907432267095287,0.7932591228949006,0.8425221910917711,0.8122009446746424,0.8607943863674784,0.5215586747920684,0.6891373699646818,0.5386953615097766,0.6906081583511317,0.4369968478902105,0.9546769100227995
10,45.332591247775575,0.819167254470024,0.8968810397741266,0.6712023905327502,0.7604420927310344,0.4416011233897406,0.6500955416852076,0.3840944625752587,0.8036960519033829,0.8503327799100708,0.8337320642608205,0.8513818751111555,0.5529854629883926,0.7117009684799961,0.536612313463571,0.6964524473513712,0.4759632047782674,0.9536782436108475
